,Latitude,Longitude,Name,X,Y
128,1.33496730156,103.908459734,KAKI BUKIT MRT STATION,36362.4224,35239.5458
129,1.31148890964,103.871386541,KALLANG MRT STATION,32236.6038,32643.3302
130,1.29794790462,103.886080218,KATONG PARK MRT STATION,33871.9027,31146.0646
131,1.32103824885,103.912949388,KEMBANGAN MRT STATION,36862.1237,33699.3568
132,1.29353698614,103.784572367,KENT RIDGE MRT STATION,22574.9694,30658.3189
133,1.41738337015,103.832979909,KHATIB MRT STATION,27962.3109,44352.568
134,1.33566276202,103.783399114,KING ALBERT PARK MRT STATION,22444.4896,35316.375
135,1.36017917027,103.885064856,KOVAN MRT STATION,33758.7578,38027.2794
136,1.42508698033,103.762137459,KRANJI MRT STATION,20078.5865,45204.5168
137,1.27225417751,103.802631578,LABRADOR PARK MRT STATION,24584.775,28304.9441
138,1.3442592503,103.720949268,LAKESIDE MRT STATION,15494.5171,36267.162
139,1.30739187936,103.86278461,LAVENDER MRT STATION,31279.2955,32190.2887
140,1.38550657933,103.83574381,LENTOR MRT STATION,28269.8971,40827.7939
141,1.30680002531,103.849646967,LITTLE INDIA MRT STATION,29817.1982,32124.8312
142,1.35161217103,103.864151939,LORONG CHUAN MRT STATION,31431.4055,37079.9444
143,1.32615024251,103.889298596,MACPHERSON MRT STATION,34230.01,34264.5433
144,1.2763111438,103.854604976,MARINA BAY MRT STATION,30369.0069,28753.5319
145,1.27460411039,103.863461786,MARINA SOUTH MRT STATION,31354.7019,28564.7868
146,1.27102703618,103.862447516,MARINA SOUTH PIER MRT STATION,31241.826,28169.2511
147,1.30263014513,103.904961932,MARINE PARADE MRT STATION,35973.2564,31663.8547
148,1.30676267898,103.915232532,MARINE TERRACE MRT STATION,37116.267,32120.8443
149,1.43252114828,103.774074641,MARSILING MRT STATION,21407.0413,46026.5125
150,1.34870726302,103.839423133,MARYMOUNT MRT STATION,28679.3688,36758.7136
151,1.32687671471,103.883247509,MATTAR MRT STATION,33556.5834,34344.8585
152,1.28053158615,103.843847647,MAXWELL MRT STATION,29171.7997,29220.1992
153,1.3714631884,103.836567766,MAYFLOWER MRT STATION,28361.595,39274.9472
